number,time,mvv1,mvv2,mvv3,mvv4,mvv5,mvv6,mvv7,mvv8,mvv9,mvv10,mvv11,mvv12,d13,mvv14,mvv15,mvv16,weight,location
1,2019/7/15 0:41,10.73086,60.385551,-8.89375,48.21328,-113.7752,-41.69981,-101.031601,-99.078117,1.249805,-0.654297,-11.47988,-8.241308,35.65049,28.72031,0,0,19.5,0
2,2019/7/15 0:42,64.807823,104.609596,22.389059,82.523643,-187.947693,-121.604301,-207.799194,-211.977295,10.3793,6.620117,-3.527344,-4.010547,53.598831,39.384769,0,0,39,0
3,2019/7/15 0:42,80.183983,172.498001,39.900002,141.559601,-296.631012,-172.121506,-326.298004,-327.348389,19.826559,23.46875,3.606445,9.125586,62.739059,73.271873,0,0,58.5,0
4,2019/7/15 0:42,125.583199,224.900604,74.185944,180.496307,-381.409393,-257.0047,-444.896912,-449.510895,35.25156,32.169922,16.365141,15.60371,88.126953,91.406639,0,0,78,0
5,2019/7/15 0:43,136.060898,304.213501,76.197273,247.036499,-496.112488,-308.3125,-556.588318,-576.988281,31.77578,26.75742,17.25127,19.77734,79.944733,86.631248,0,0,97.5,0
6,2019/7/15 0:43,214.078903,340.533203,115.832802,274.299408,-569.421509,-386.294708,-677.055481,-679.704712,48.648628,29.31797,33.39082,22.57559,96.917969,92.962502,0,0,117,0
7,2019/7/15 0:44,249.740204,404.160889,135.241394,324.430695,-680.007019,-454.498596,-803.777283,-802.792175,45.382809,23.59277,42.859669,29.242189,69.899696,82.710159,0,0,136.5,0
8,2019/7/15 0:44,331.003113,447.737701,178.775803,355.598114,-756.425171,-539.18689,-934.156616,-916.381226,52.289059,19.16465,60.41621,33.699322,70.732521,76.89492,0,0,156,0
9,2019/7/15 0:44,349.527313,516.395874,180.531204,410.179901,-865.690186,-595.52771,-1040.227051,-1033,47.841801,10.88144,62.187691,39.28936,60.942581,69.746872,0,0,175.5,0
10,2019/7/15 0:45,429.703888,547.881226,228.389801,434.761505,-939.23053,-679.297729,-1168.998047,-1137.920044,66.261719,12.82637,79.588577,41.979301,86.953812,70.469139,0,0,195,0
